RA;DEC;countrates_0.3-10keV(ph.s-1);countrates_error_0.3-10keV(ph.s-1);exposure_time(s);countrates_0.3-1keV(ph.s-1);countrates_error_0.3-1keV(ph.s-1);upper_limit_0.3-1keV(ph.s-1);countrates_1-2keV(ph.s-1);countrates_error_1-2keV(ph.s-1);upper_limit_1-2keV(ph.s-1);countrates_2-10keV(ph.s-1);countrates_error_2-10keV(ph.s-1);upper_limit_2-10keV(ph.s-1)
02:32:54.962;+00:26:19.259;1.764E-03;4.200E-04;15354.2;9.408E-04;3.011E-04;-9.990E+02;5.880E-04;2.377E-04;-9.990E+02;2.351E-04;1.506E-04;-9.990E+02
02:32:41.996;+00:30:24.551;7.470E-04;2.900E-04;15693.0;3.735E-04;2.021E-04;-9.990E+02;3.735E-04;2.021E-04;-9.990E+02;9.960E-05;-2.897E-01;8.228E-04
02:32:29.091;+00:25:49.016;1.276E-03;3.600E-04;16143.9;6.376E-04;2.560E-04;-9.990E+02;5.313E-04;2.320E-04;-9.990E+02;1.062E-04;1.040E-04;-9.990E+02
02:33:01.238;+00:25:18.335;5.767E-03;7.200E-04;15350.8;3.158E-03;5.336E-04;-9.990E+02;2.197E-03;4.489E-04;-9.990E+02;4.120E-04;1.948E-04;-9.990E+02
02:32:28.314;+00:27:38.621;9.156E-04;3.100E-04;16044.3;4.577E-04;2.178E-04;-9.990E+02;4.578E-04;2.178E-04;-9.990E+02;6.540E-05;-3.097E-01;7.561E-04
02:32:41.673;+00:22:29.291;8.891E-04;3.100E-04;15373.3;3.952E-04;2.041E-04;-9.990E+02;1.976E-04;1.437E-04;-9.990E+02;2.964E-04;1.815E-04;-9.990E+02
02:32:47.544;+00:21:59.379;7.555E-04;2.900E-04;15730.9;1.511E-04;1.273E-04;-9.990E+02;1.511E-04;1.273E-04;-9.990E+02;4.533E-04;2.263E-04;-9.990E+02
02:32:37.556;+00:32:11.219;7.831E-04;2.900E-04;15881.5;1.958E-04;1.422E-04;-9.990E+02;3.915E-04;2.047E-04;-9.990E+02;1.958E-04;1.422E-04;-9.990E+02
02:32:44.471;+00:33:49.833;1.080E-03;3.400E-04;15758.8;4.323E-04;2.147E-04;-9.990E+02;4.323E-04;2.147E-04;-9.990E+02;2.161E-04;1.551E-04;-9.990E+02
02:32:14.786;+00:28:59.362;3.831E-03;6.300E-04;9353.3;6.967E-04;2.772E-04;-9.990E+02;1.045E-03;3.402E-04;-9.990E+02;2.090E-03;4.851E-04;-9.990E+02
02:33:14.659;+00:33:54.216;8.289E-04;3.200E-04;15922.3;3.685E-04;2.152E-04;-9.990E+02;2.764E-04;1.821E-04;-9.990E+02;1.842E-04;1.490E-04;-9.990E+02
02:33:25.346;+00:29:17.717;4.141E-03;6.700E-04;15662.2;1.534E-03;4.087E-04;-9.990E+02;1.534E-03;4.087E-04;-9.990E+02;1.074E-03;3.417E-04;-9.990E+02
02:33:18.557;+00:21:25.565;1.366E-03;4.000E-04;15665.8;1.062E-03;3.525E-04;-9.990E+02;3.036E-04;1.898E-04;-9.990E+02;3.543E-04;-3.996E-01;1.000E-03
02:32:46.289;+00:16:46.030;1.350E-03;4.000E-04;14773.3;7.499E-04;2.984E-04;-9.990E+02;4.499E-04;2.286E-04;-9.990E+02;1.500E-04;1.333E-04;-9.990E+02
02:33:18.849;+00:19:58.008;8.680E-04;3.400E-04;15859.9;3.720E-04;2.245E-04;-9.990E+02;3.720E-04;2.245E-04;-9.990E+02;1.240E-04;1.283E-04;-9.990E+02
02:33:02.371;+00:16:37.179;3.579E-03;6.300E-04;14542.4;1.989E-04;1.459E-04;-9.990E+02;1.392E-03;3.913E-04;-9.990E+02;1.989E-03;4.708E-04;-9.990E+02
02:33:28.301;+00:22:57.160;1.630E-03;4.500E-04;15515.5;6.792E-04;2.875E-04;-9.990E+02;4.075E-04;2.250E-04;-9.990E+02;5.433E-04;2.625E-04;-9.990E+02
02:32:04.415;+00:33:04.250;1.504E-01;4.400E-03;1282.9;9.401E-02;3.504E-03;-9.990E+02;3.761E-02;2.200E-03;-9.990E+02;1.880E-02;1.548E-03;-9.990E+02
02:33:08.774;+00:15:47.074;6.684E-03;9.100E-04;9703.0;4.627E-03;7.150E-04;-9.990E+02;2.056E-03;4.875E-04;-9.990E+02;8.357E-04;-9.091E-01;3.400E-03
02:33:33.974;+00:32:01.098;1.786E-03;5.000E-04;14892.6;2.551E-04;1.905E-04;-9.990E+02;5.101E-04;2.698E-04;-9.990E+02;1.020E-03;3.810E-04;-9.990E+02
